,rates
AED,3.940467
AFN,93.904499
ALL,110.685689
AMD,413.18617
ANG,1.933443
AOA,592.86536
ARS,252.950962
AUD,1.6475179999999998
AWG,1.931496
AZN,1.816114
BAM,1.9567549999999998
BBD,2.166077
BDT,115.01611
BGN,1.9539279999999999
BHD,0.404507
BIF,3026.176317
BMD,1.073053
BND,1.451695
BOB,7.412616
BRL,5.404469
BSD,1.072823
BTC,4.0669848000000006e-05
BTN,88.740684
BWP,14.63614
BYN,2.707771
BYR,21031.848365
BZD,2.162475
CAD,1.463355
CDF,2494.849603
CHF,0.971366
CLF,0.031439
CLP,867.499089
CNY,7.573616
COP,4820.156268
CRC,575.980992
CUC,1.073053
CUP,28.435917
CVE,110.319707
CZK,23.627548
DJF,191.013186
DKK,7.4497160000000004
DOP,58.5457
DZD,146.737931
EGP,33.164647
ERN,16.095802
ETB,58.277257
EUR,1.0
FJD,2.411956
FKP,0.870791
GBP,0.869903
GEL,2.741653
GGP,0.870791
GHS,11.830415
GIP,0.870791
GMD,63.932671
GNF,9221.455709
GTQ,8.372773
GYD,226.900693
HKD,8.406532
HNL,26.47227
HRK,7.451649
HTG,151.802642
HUF,372.668414
IDR,16056.099341
ILS,4.004727
IMP,0.870791
INR,88.761163
IQD,1405.700069
IRR,45416.988835
ISK,150.098298
JEP,0.870791
JMD,165.390686
JOD,0.7613329999999999
JPY,149.99786
KES,148.39995
KGS,93.988804
KHR,4412.395656
KMF,492.692623
KPW,965.761594
KRW,1422.18755
KWD,0.329986
KYD,0.8940359999999999
KZT,478.523447
LAK,18941.539762
LBP,16219.20378
LKR,324.418267
LRD,180.112429
LSL,21.257387
LTL,3.168448
LVL,0.6490800000000001
LYD,5.159517
MAD,10.953196
MDL,19.09596
MGA,4735.385405
MKD,61.649214
MMK,2252.899074
MNT,3739.00257
MOP,8.654822
MRO,383.079911
MUR,48.988746
MVR,16.415111
MWK,1098.806768
MXN,19.130393
MYR,4.962876
MZN,67.870431
NAD,21.257164
NGN,494.677355
NIO,39.219669
NOK,11.860524
NPR,141.991594
NZD,1.768634
OMR,0.413147
PAB,1.072823
PEN,3.95636
PGK,3.7825249999999997
PHP,59.855084
PKR,306.391173
PLN,4.506456
PYG,7765.860938
QAR,3.907006
RON,4.953538
RSD,117.247183
RUB,85.885594
RWF,1215.233075
SAR,4.024168
SBD,8.943007
SCR,14.116428
SDG,645.448933
SEK,11.600353
SGD,1.451557
SHP,1.305638
SLE,24.240577
SLL,21192.806759
SOS,610.033857
SRD,40.08225
STD,22210.040715
SVC,9.386579
SYP,2696.092373
SZL,21.257186
THB,37.174892
TJS,11.714424
TMT,3.766418
TND,3.321633
TOP,2.555368
TRY,21.438407
TTD,7.295559
TWD,32.942205
TZS,2532.406903
UAH,39.62293
UGX,4001.952348
USD,1.073053
UYU,41.45868
UZS,12270.366652
VEF,2790364.714333
VES,28.003357
VND,25195.295898
VUV,129.265825
WST,2.918974
XAF,656.277164
XAG,0.046717999999999996
XAU,0.000551
XCD,2.899981
XDR,0.804292
XOF,656.277164
XPF,119.806231
YER,268.639083
ZAR,21.236478
ZMK,9658.76635
ZMW,20.759321
ZWL,345.522785
